URL	銘柄コード	開示日	タイトル	要約	株主にとって	作成日
/disc/65740/140120240416571755.pdf	6574	2024-04-16	主要株主である筆頭株主及び親会社以外の支配株主の異動並びに株式会社NTによる当社株式（証券コード6574）の買付けに関するお知らせ	筆頭株主で親会社以外の支配株主だった青木剛志が、保有する当社株式の全てを株式会社NTへ譲渡した。買集め行為にあたるため、NT側の要請に基づく公表も併せて行われている。		2026-08-14
/disc/65740/140120240507582706.pdf	6574	2024-05-10	連結業績予想と実績の差異及び繰延税金資産の取崩しに関するお知らせ	2024年3月期通期の当期利益が予想比44百万円減の199百万円となり、繰延税金資産47百万円の追加取崩しを実施した。	悪材料	2026-08-15
/disc/65740/140120240507582703.pdf	6574	2024-05-10	個別業績の前期実績との差異、特別損失（個別）の計上及び繰延税金資産の取崩しに関するお知らせ	売上高が前期比11.3%増の25億8,500万円となったが、投資や繰延税金資産取崩しにより営業利益は減益。連結業績への影響はない。	中立	2026-08-15
/disc/65740/140120240507582673.pdf	6574	2024-05-10	2024年３月期 決算短信〔ＩＦＲＳ〕（連結）	売上2,589百万円で増収も赤字に転落。下期予想は営業利益△220百万円の大幅減益見通し。	悪材料	2026-08-15
/disc/65740/140120240513591811.pdf	6574	2024-05-14	株式の立会外分売に関するお知らせ	株主からの一定数量の売却意向を受け、40,300株を立会外分売すると発表。株式の分布状況の改善と流動性の向上が目的で、1人あたりの買付上限は1,300株。		2026-08-14
/disc/65740/140120240520501201.pdf	6574	2024-05-20	株式の立会外分売中止に関するお知らせ	5月14日に発表した40,300株の立会外分売について、分売人からの中止の申し出により中止した。申し出の理由までは開示されていない。		2026-08-14
/disc/65740/140120240516599455.pdf	6574	2024-05-23	新任取締役候補者の選任に関するお知らせ	6月定時株主総会にて弁護士出身の白井真氏を新任取締役候補として選任する旨を開示した。	中立	2026-08-15
/disc/65740/140120240516599456.pdf	6574	2024-05-23	定款の一部変更に関するお知らせ	取締役任期を2年から1年に短縮し、機動的な経営体制構築を図る。6月27日の株主総会で決議予定。	中立	2026-08-15
/disc/65740/140120240529513208.pdf	6574	2024-05-30	（訂正・数値データ訂正）「2024年３月期 決算短信〔ＩＦＲＳ〕（連結）」の一部訂正について	株式会社コンヴァノは、住民税等の計上誤りにより営業損失を8百万円から59百万円へ下方修正した。当期利益や配当への影響はない。	悪材料	2026-08-15
/disc/65740/140120240626538136.pdf	6574	2024-06-27	組織変更及び役員の管掌範囲の変更に関するお知らせ	コンヴァノは7月1日付で経営戦略・ネイル・支援の3本部を新設し、役員の管掌範囲を変更した。	中立	2026-08-15
/disc/65740/140120240625536518.pdf	6574	2024-06-27	支配株主等に関する事項について	支配株主・青木氏が全株式を資産管理会社NTへ譲渡。NTは経営参画意図がなく安定保有方針のため、実質的な支配構造に変化はない。	中立	2026-08-15
/disc/65740/140120240620532737.pdf	6574	2024-06-27	事業計画及び成長可能性に関する事項	コンヴァノは2025年3月期から2027年3月期までの第2次中期経営計画を策定し、人材やシステムへの投資を通じて28年3月期以降の成長基盤を整えると開示した。	中立	2026-08-15
/disc/65740/140120240808567693.pdf	6574	2024-08-09	2025年３月期第１四半期決算短信〔ＩＦＲＳ〕（非連結）	売上7億円で増収だが営業損失7000万円と減益。通期予想は据え置きで、1株当たり利益も赤字転落。	悪材料	2026-08-15
/disc/65740/140120241113522658.pdf	6574	2024-11-14	2025年３月期第２四半期(中間期)決算短信〔ＩＦＲＳ〕（連結）	売上1,513百万円（+13.6%）だが営業損失116百万円、中間損失120百万円。通期予想は据え置きで売上3,400百万円、営業損失220百万円を見込む。	悪材料	2026-08-15
/disc/65740/140120241121527405.pdf	6574	2024-11-21	資本金及び資本準備金の額の減少並びに剰余金の処分に関するお知らせ	コンヴァノは欠損填補のため無償減資を実施し、資本金を1,000万円に圧縮する。純資産総数や発行済株式数は変更なし。	中立	2026-08-15
/disc/65740/140120241121527408.pdf	6574	2024-11-21	臨時株主総会招集のための基準日設定に関するお知らせ	Convanoは12月31日を基準日とする臨時株主総会で資本金減少を議案予定。詳細は別開示参照。	中立	2026-08-15
/disc/65740/140120241121527409.pdf	6574	2024-11-21	組織変更及び役員の管掌範囲の変更に関するお知らせ	12月1日付で人材開発室を新設し、人事総務部をネイル事業本部へ配置変更。社長の管掌範囲も変更した。	中立	2026-08-15
/disc/65740/140120250122553769.pdf	6574	2025-01-23	役員の管掌範囲の変更に関するお知らせ	代表取締役社長の上四元氏がネイル事業本部を管掌し、執行役員の東氏が同本部へ異動した。	中立	2026-08-15
/disc/65740/140120250213574617.pdf	6574	2025-02-14	2025年３月期第３四半期決算短信〔IFRS〕 (連結)	売上高18.3%増の2,341百万円だが、営業損失75百万円など黒字転落。通期予想は据え置きで売上3,400百万円、営業損失220百万円を見込む。	悪材料	2026-08-15
/disc/65740/140120250515552699.pdf	6574	2025-05-15	連結業績予想と実績との差異に関するお知らせ	25年3月期は売上32.4億円（予想比▲4.7%）、営業益1.35億円・当期益7800万円で赤字予想から黒字転換。ネイル事業改善と新子会社寄与が要因。	好材料	2026-08-15
/disc/65740/140120250515552704.pdf	6574	2025-05-15	個別業績の前期実績との差異に関するお知らせ	25年3月期個別は売上高3,085百万円(前期比+19.3%)、営業損失144百万円(拡大)、当期純損失147百万円(縮小)。ネイリスト強化で増収、本社機能移管費用で減益、税効果で純損失縮小。	中立	2026-08-15
/disc/65740/140120250515552660.pdf	6574	2025-05-15	2025年３月期 決算短信〔ＩＦＲＳ〕（連結）	25年3月期は売上3,241百万円（前期比25%増）、営業益135百万円で黒字転換。26年3月期は売上5,600百万円、営業益510百万円を見込む。新中計で27年3月期100億円目標。	好材料	2026-08-15
/disc/65740/140120250522562484.pdf	6574	2025-05-22	連結子会社の代表取締役の異動に関するお知らせ	連結子会社Convano consultingの代表取締役社長に東大陽氏（当社執行役員）が就任、横山周平氏は取締役に異動。5月22日付。	中立	2026-08-15
/disc/65740/140120250522561672.pdf	6574	2025-05-22	公認会計士等の異動に関するお知らせ	監査法人をゼロス有限責任監査法人から永和監査法人へ変更。上場会社監査人登録未了による継続性リスク対応で、監査役会も妥当と判断。株主への財務的影響はない。	中立	2026-08-15
/disc/65740/140120250526566198.pdf	6574	2025-05-26	株主提案に関する書面受領のお知らせ	株主・川口佑氏（議決権4.57%）から定款変更の株主提案書面を受領。浮動株不足による株価過熱と支配株主過半数を理由に多様な投資家参入環境整備を求める。取締役会は慎重検討のうえ意見を後日公表予定。	中立	2026-08-15
/disc/65740/140120250609584897.pdf	6574	2025-06-09	持株会社体制への移行に関する検討開始および組織体制改革プロジェクト発足	持株会社移行検討と組織改革プロジェクト発足を決議。発行可能株数増加とWeb3目的追加の定款変更を株主総会に付議。事業子会社で円建てCF創出、持株会社で非円資産管理・インフレ耐性強化を目指す。詳細未定。	中立	2026-08-15
/disc/65740/140120250619593708.pdf	6574	2025-06-19	業績予想の上方修正に関するお知らせ	26年3月期業績予想を上方修正。売上70億円(前回比+25%)、営業益10億円(同+96%)、純利益6.5億円(同+96%)。ネイル事業のマーケティング強化と子会社の契約増・ファンドエグジットが寄与。	好材料	2026-08-15
/disc/65740/140120250619593733.pdf	6574	2025-06-19	中期経営計画の修正に関するお知らせ	中期経営計画を上方修正。26年3月期売上56→70億円、営業益5.1→10億円、27年3月期売上100→150億円、営業益10→30億円へ。ネイル事業好調と子会社成長が要因。	好材料	2026-08-15
/disc/65740/140120250630504870.pdf	6574	2025-06-30	支配株主等に関する事項について	支配株主のNTが議決権72.24%を保有。取引はなく、少数株主保護のため社外取締役含む取締役会で審議する方針。	中立	2026-08-15
/disc/65740/140120250630504906.pdf	6574	2025-06-30	第三者割当による第 4 回新株予約権（行使価額修正条項付）の発行及び新株予約権の引受契約の締結に関するお知らせ	コンヴァノはディメンショナルに対し新株予約権7,000個を発行し、最大61億円で資金調達。M&A案件の確保と成長戦略推進が目的。	悪材料	2026-08-15
/disc/65740/140120250704508646.pdf	6574	2025-07-04	子会社における孫会社の異動に関するお知らせ	子会社を通じアセットクリエイト等を1円で取得、美容業界ロールアップ第1号。26年3月期業績予想に変更なし。	中立	2026-08-15
/disc/65740/140120250704508644.pdf	6574	2025-07-04	(訂正)「第三者割当による第４回新株予約権（行使価額修正条項付）の発行及び新株予約権の引受契約の締結に関するお知らせ」の一部訂正について	6月30日公表の第4回新株予約権発行について、権利行使開始日を7月16日から7月17日に1日訂正。スケジュールへの影響はない。	中立	2026-08-15
/disc/65740/140120250716515584.pdf	6574	2025-07-16	第三者割当による第４回新株予約権（行使価額修正条項付）の発行に係る払込完了に関するお知らせ	第三者割当で第4回新株予約権7,000個（潜在株70万株）をディメンショナルに発行、払込2,660万円完了。行使価額修正条項付（下限5,000円）で希薄化懸念。	悪材料	2026-08-15
/disc/65740/140120250717516267.pdf	6574	2025-07-17	株式分割及び株式分割に伴う定款の一部変更に関するお知らせ	1株を10株に分割（8/2効力発生）。投資単位引き下げで流動性向上・投資家層拡大を狙う。資本金変更なし。	中立	2026-08-15
/disc/65740/140120250717516097.pdf	6574	2025-07-17	新たな事業（暗号資産保有事業）の開始に関するお知らせ	取締役会で暗号資産保有事業を開始し、財務戦略として4億円のビットコイン購入を決議。円建て事業の購買力維持とインフレヘッジが目的だが、26年3月期業績予想に影響額は含まず、会計処理も検討中。	中立	2026-08-15
/disc/65740/140120250717516280.pdf	6574	2025-07-17	ロックアップ契約締結に関して	経営陣6名が保有全株式約31万株を5年間譲渡制限するロックアップ契約を締結。業績への直接的影響はないとしています。	中立	2026-08-15
/disc/65740/140120250717516086.pdf	6574	2025-07-17	ビットコイン保有戦略室の新設と役員の管掌範囲の変更に関するお知らせ	ビットコイン保有戦略室を新設し、取締役の東大陽氏を室長に任命。6月開示の4億円デジタルアセット投資の執行・統制体制を整備し、暗号資産事業を成長エンジン化へ。	中立	2026-08-15
/disc/65740/140120250717516109.pdf	6574	2025-07-17	ビットコインの購入決議に関するお知らせ	取締役会で総額4億円のビットコイン購入を決議、7月末までに完了予定。新事業として暗号資産保有事業を開始し、株主価値最大化を目的とするが、26年3月期予想に影響は織り込まず、著しい影響生じれば開示する。	中立	2026-08-15
/disc/65740/140120250722517882.pdf	6574	2025-07-22	第１回普通社債の発行に関するお知らせ	第1回普通社債10億円（無利息、12月償還）を発行し、追加ビットコイン購入資金に充当。業績影響は軽微との見通しだが、暗号資産損益は業績予想に未織込、会計処理検討中。	中立	2026-08-15
/disc/65740/140120250722517814.pdf	6574	2025-07-22	暗号資産（ビットコイン）の購入決議に関するお知らせ	取締役会で10億円のビットコイン購入を決議。普通社債10億円で調達し7月末までに完了予定。「価値保全資産」としてインフレ耐性・通貨分散を図り株主価値最大化を目指すが、26年3月期業績予想には損益未織り込み。	中立	2026-08-15
/disc/65740/140120250722517806.pdf	6574	2025-07-22	ビットコインの購入完了に関するお知らせ	自己資金4億円で22.63BTCを購入完了。26年3月期予想に損益未織り込み、会計処理検討中。今後も積極取得方針。	中立	2026-08-15
/disc/65740/140120250724519582.pdf	6574	2025-07-24	ビットコインの購入完了に関するお知らせ	第1回普通社債の調達資金約10億円と自己資金約4億円で計約80BTCを取得完了。26年3月期予想に損益は未織込、会計処理検討中で追加取得方針も未定額。	判断できない	2026-08-15
/disc/65740/140120250725520971.pdf	6574	2025-07-25	資金使途の変更に関するお知らせ	第4回新株予約権調達額6,011百万円の使途変更。第1回普通社債返還1,000百万円を新設し、ネイルサロン・ヘルスケア各500百万円減額。自己資本比率向上と財務耐性強化で暗号資産事業の持続的拡大を図る。	中立	2026-08-15
/disc/65740/140120250725520979.pdf	6574	2025-07-25	第４回新株予約権(行使価額修正条項付)の大量行使に関するお知らせ	第4回新株予約権が7月16-25日に大量行使され、108,000株（発行総数の15.43%）が新規発行された。希薄化により既存株主の持ち分が減少する。	悪材料	2026-08-15
/disc/65740/140120250725520974.pdf	6574	2025-07-25	第１回普通社債の繰上償還に関するお知らせ	第1回普通社債10億円を繰上償還。第4回新株予約権の行使払込金10億3110万円のうち10億円を充当。2026年3月期連結業績への影響は軽微とのこと。	中立	2026-08-15
/disc/65740/140120250728521725.pdf	6574	2025-07-28	第２回普通社債の発行に関するお知らせ	15億円の無利息・半年満期社債を発行し全額でビットコイン追加購入。会社は業績影響を軽微と説明するが、暗号資産変動リスクを負う。	中立	2026-08-15
/disc/65740/140120250728521722.pdf	6574	2025-07-28	暗号資産（ビットコイン）の購入決議に関するお知らせ	取締役会で15億円のビットコイン購入を決議。普通社債15億円で調達し7月末までに完了予定。26年3月期業績予想には含まれず、戦略的保有で株主価値最大化を狙う。	中立	2026-08-15
/disc/65740/140120250731525947.pdf	6574	2025-07-31	業績予想の上方修正に関するお知らせ	2026年3月期通期業績予想を上方修正。売上収益7,160百万円（+160）、営業利益1,520百万円（+520）。高付加価値事業の比重増で利益率が構造的に改善。	好材料	2026-08-15
/disc/65740/140120250731525930.pdf	6574	2025-07-31	子会社による新たな事業（ＡＩデータセンター事業）の開始に関するお知らせ	子会社Convano consultingがAIデータセンター事業を開始、自社運営と他社向けコンサルの二本柱。初期投資3,000万円を自己資金で賄い8月サービスイン予定だが、業績影響は未定で織り込まず。	判断できない	2026-08-15
/disc/65740/140120250731525922.pdf	6574	2025-07-31	ビットコインの購入完了に関するお知らせ	15億円の社債資金で85BTC購入完了、累計29億円で164.9BTC保有。会計処理未定で業績予想に織り込まず、追加取得方針。	中立	2026-08-15
/disc/65740/140120250731526013.pdf	6574	2025-07-31	LG Chem Ltd.とのPMDA（医薬品医療機器総合機構）承認取得に向けた業務提携契約締結に関するお知らせ	子会社がLG ChemとPMDA承認向けAA締結。包括的支援で承認加速、26年2月上市へ。同日上方修正(売上+1.6億/営業益+5.2億)に影響反映。	好材料	2026-08-15
/disc/65740/140120250804528974.pdf	6574	2025-08-04	第３回普通社債の発行に関するお知らせ	コンヴァノが無利息・無担保の第3回普通社債20億円をディメンショナルに発行、12月末償還で調達資金全額をビットコイン購入に充当し希薄化回避を図る。2026年3月期業績への影響は軽微と見込む。	中立	2026-08-15
/disc/65740/140120250804528971.pdf	6574	2025-08-04	暗号資産（ビットコイン）の購入決議に関するお知らせ	コンヴァノが20億円の社債発行資金でビットコインを購入し、27年3月までに21,000BTC保有を目指す第1段階を実行。業績予想に織り込まず、影響は未定。	中立	2026-08-15
/disc/65740/140120250804528965.pdf	6574	2025-08-04	「コンヴァノ21,000ビットコイン財務補完計画」策定のお知らせ	27年3月末までに21,000BTC保有をKPI化、約4,340億円で段階取得。調達は希薄化抑制方針のみ。再評価モデルで益OCI・損P/L。評価損・風評・規制リスクを開示。	中立	2026-08-15
/disc/65740/140120250805530909.pdf	6574	2025-08-05	オプション取引によるビットコイン・インカム事業の開始に関するお知らせ	コンヴァノはBTCプットオプション売却でプレミアム収益を得る新事業を開始し、26年3月期に300億円充当予定。資金調達未定ながら希薄化回避を方針とし、オプション料で年10%の30億円収益を目指す。	判断できない	2026-08-15
/disc/65740/140120250806531670.pdf	6574	2025-08-06	データセンター活用型グリーン・ビットコインマイニング事業の開始に関するお知らせ	コンヴァノがグリーン・ビットコインマイニング事業を開始、2027年3月までに21,000BTC保有目標。月間10BTC採掘めざすも投資額・業績影響は未開示。	判断できない	2026-08-15
/disc/65740/140120250807534701.pdf	6574	2025-08-07	資金使途の変更に関するお知らせ	第4回新株予約権調達6,011百万円の使途を変更し、コンサル・ヘルスケア・ネイル事業への配分をゼロにし、第2・3回社債3,500百万円を前倒し返済。自己勘定投資は1,511百万円に圧縮し、虎ノ門キャピタル売却益で賄う。	好材料	2026-08-15
/disc/65740/140120250807534655.pdf	6574	2025-08-07	子会社における孫会社の異動に関するお知らせ	連結子会社ファンドが保有するTKBC全株式（1,000株）を17.7億円で譲渡。ビットコイン2.1万BTC保有計画の資金確保と資本効率向上が目的。譲渡益を売上収益計上予定で、26年3月期業績への影響精査中。	好材料	2026-08-15
/disc/65740/140120250812539924.pdf	6574	2025-08-12	資金使途の変更に関するお知らせ	第4回新株予約権の行使額増加(6,011→8,027百万円)に伴い、増額分2,016百万円をビットコイン購入に全額配分。M&A投資1,500百万円と社債返済4,500百万円は維持。業績影響は軽微。	中立	2026-08-15
/disc/65740/140120250812539931.pdf	6574	2025-08-12	第４回新株予約権(行使価額修正条項付)の大量行使に関するお知らせ	第4回新株予約権が大量行使され、513万株（発行済株式の約11.7％）が新たに発行された。行使価額修正条項により856円以上で行使可能だった。	悪材料	2026-08-15
/disc/65740/140120250812539927.pdf	6574	2025-08-12	第２回普通社債、第３回普通社債の繰上償還に関するお知らせ	第2・3回社債35億円をディメンショナルからの新株予約権行使資金69.9億円で繰上償還。26年3月期への影響は軽微。	中立	2026-08-15
/disc/65740/140120250812539919.pdf	6574	2025-08-12	暗号資産（ビットコイン）の購入決議に関するお知らせ	第三者割当新株予約権の行使資金80.27億円から20億円でビットコイン購入を決議。2027年3月までに21,000BTC保有を目指す財務計画の第一段階。業績予想に損益影響は未織り込み。	中立	2026-08-15
/disc/65740/140120250813540553.pdf	6574	2025-08-13	主要株主の異動に関するお知らせ	株式会社ディメンショナルが新株予約権を行使し、議決権比率が2.41%から13.86%へ上昇し第2位株主となった。会社は業績・経営体制への影響はないとしている。	中立	2026-08-15
/disc/65740/140120250814542414.pdf	6574	2025-08-14	業績予想の上方修正に関するお知らせ	26年3月期業績予想を上方修正。売上84.6億円（+18%）、営業益30.4億円（+100%）、純利益19.9億円（+100%）。ネイル事業の構造改革と投資助言事業の大型案件確定が寄与。	好材料	2026-08-15
/disc/65740/140120250814541410.pdf	6574	2025-08-14	2026年３月期 第１四半期決算短信〔ＩＦＲＳ〕（連結）	第1四半期は売上1,055百万円(前年比51%増)、営業益174百万円で黒字転換。通期予想を売上8,460百万円、営業益3,035百万円へ大幅上方修正。	好材料	2026-08-15
/disc/65740/140120250815542909.pdf	6574	2025-08-15	株式分割及び株式分割に伴う定款の一部変更に関するお知らせ	1株を10株に分割（9/1効力発生）、発行済株式数50,125,600株→501,256,000株。流動性向上・投資家層拡大目的、価値中立だが中長期的企業価値向上期待。	中立	2026-08-15
/disc/65740/140120250822545944.pdf	6574	2025-08-22	米国OTCQX Internationalへの上場計画策定に関するお知らせ	米国OTCQX Internationalへの上場計画を策定。2026年3月期末目処で取引開始目指す。費用3000万円程度、業績影響は軽微。国内上場継続前提。	中立	2026-08-15
/disc/65740/140120250822546292.pdf	6574	2025-08-22	ビットコインの購入完了に関するお知らせ	35億円で200BTC購入完了、累計64億円で365BTC保有。調達は社債20億円と新株予約権15億円。業績予想に未織り込み。	悪材料	2026-08-15
/disc/65740/140120250827548223.pdf	6574	2025-08-27	資金使途の変更に関するお知らせ	第4回新株予約権の行使増により調達額が8,027百万円から10,399百万円に増加し、増額分2,372百万円をデジタルアセット（ビットコイン）投資に追加配分。26年3月期業績への影響は軽微。	中立	2026-08-15
/disc/65740/140120250827548227.pdf	6574	2025-08-27	臨時株主総会招集のための基準日設定に関するお知らせ	臨時株主総会の議決権基準日を9月12日に設定。開催は10月下旬予定で、議案詳細は今後公表。	中立	2026-08-15
/disc/65740/140120250827548118.pdf	6574	2025-08-27	法定通貨連動型ステーブルコインの企画・開発事業開始に関するお知らせ	FINX JCryptoと協業で円建てステーブルコイン事業を開始。2026年3月期に5000万円投じPoC・パイロット準備を進め、27年末の免許取得目指す。当期業績影響は精査中。	中立	2026-08-15
/disc/65740/140120250827548501.pdf	6574	2025-08-27	暗号資産（ビットコイン）の購入決議に関するお知らせ	コンヴァノが20億円のビットコイン購入を決議。新株予約権行使資金から充当、9月末完了見込み。21,000BTC保有目標の第1段階で価値保存手段として位置づけ。業績予想に購入損益は未織り込み。	中立	2026-08-15
/disc/65740/140120250827548200.pdf	6574	2025-08-27	中期経営計画の修正及び改訂版中期経営計画「補完コード2029」策定に関するお知らせ	中期経営計画を上方修正し、2029年3月期「補完コード2029」策定。高付加価値シフト加速で26年3月期営業利益3,035百万円、29年3月期売上1,135億円・営業利益516億円目指し、時価総額KPI・BTC連動。	好材料	2026-08-15
/disc/65740/140120250827548148.pdf	6574	2025-08-27	METABIOMEDCo.,Ltd.との次世代型糸リフト素材開発に向けた業務提携契約締結に関するお知らせ	連結子会社シンクスヘルスケアが韓国META BIOMEDと次世代型糸リフト素材の共同開発・独占輸入で業務提携契約を締結。現時点では業績予想に変更なく、定量的影響は不透明。	中立	2026-08-15
/disc/65740/140120250827548151.pdf	6574	2025-08-27	FINX JCrypto株式会社との業務提携契約締結に関するお知らせ	コンヴァノがFINX JCryptoと業務提携基本契約を9月1日付で締結。株主優待のデジタル化、ステーブルコイン発行、BTCステーキング・担保融資・トレジャリーソリューション等を共同検討。26年3月期業績影響は精査中。	中立	2026-08-15
/disc/65740/140120250901551013.pdf	6574	2025-09-01	ビットコインの購入完了に関するお知らせ	コンヴァノが第4回新株予約権の資金で25.5億円分のビットコイン155枚を購入完了、累計約89億円保有。オプション料2800万円を売上計上予定。業績予想に損益未織り込み、会計処理協議中。	判断できない	2026-08-15
/disc/65740/140120250902551936.pdf	6574	2025-09-02	第４回普通社債の発行に関するお知らせ	第4回普通社債25億円を無利息・短期で発行し、全額をビットコイン購入に充当。希薄化を抑えつつPhase I目標2,000BTC達成を目指すが、償還時にエクイティ調達の可能性あり。業績影響は軽微。	中立	2026-08-15
/disc/65740/140120250902551935.pdf	6574	2025-09-02	暗号資産（ビットコイン）の購入決議に関するお知らせ	コンヴァノが第4回普通社債の調達資金25億円でビットコインを購入し、27年3月までに21,000BTC（累計約114億円）保有を目指す。財務リザーブとしてインフレ耐性強化と株主価値向上を図るが、業績予想には未反映。	中立	2026-08-15
/disc/65740/140120250905554135.pdf	6574	2025-09-05	業績予想の上方修正に関するお知らせ	2026年3月期通期予想を上方修正。売上11,170百万円（+32%）、営業益5,335百万円（+75.8%）。ヘルスケア高単価商材とビットコイン事業が寄与。	好材料	2026-08-15
/disc/65740/140120250905553971.pdf	6574	2025-09-05	子会社設立に関するお知らせ	AIマーケティング・データ分析事業を担う子会社DataStrategy（資本金100万円、間接100%出資）を9月設立。2026年3月期業績への影響は精査中。	中立	2026-08-15
/disc/65740/140120250905553995.pdf	6574	2025-09-05	子会社による新たな事業(AIマーケティング、データ分析事業)の開始に関するお知らせ	子会社DataStrategyを設立しAIマーケティング・データ分析事業を10月開始。26年3月期に2億円投資し20社獲得目指すも、業績影響は精査中。	中立	2026-08-15
/disc/65740/140120250905553973.pdf	6574	2025-09-05	SBI VCトレード株式会社との連携に関するお知らせ	コンヴァノがSBI VCトレードと連携し、ビットコイン2.1万枚保有目標に向けOTC・オプション・カストディを強化。同日開示の業績上方修正も踏まえ、BTCインカム事業の売上拡大を狙う。	好材料	2026-08-15
/disc/65740/140120250908554540.pdf	6574	2025-09-08	第５回普通社債の発行に関するお知らせ	コンヴァノは200億円の無利息第5回普通社債をディメンショナルに割当発行し、全額を9〜11月のビットコイン追加購入に充当する。発行時は希薄化なしだが償還にエクイティ調達の可能性あり。26年3月期業績影響は軽微との見通し。	中立	2026-08-15
/disc/65740/140120250908554538.pdf	6574	2025-09-08	暗号資産（ビットコイン）の購入決議に関するお知らせ	取締役会で総額200億円のビットコイン購入を決議。第5回社債調達金を充当し、27年3月末までに21,000BTC保有を目指す計画の第1段階。11月末完了予定で累計約314億円。損益は業績予想に未織り込み。	中立	2026-08-15
/disc/65740/140120250908554760.pdf	6574	2025-09-08	事業計画及び成長可能性に関する事項	26年3月期業績予想を上方修正（売上111.7億円、営益53.35億円、前期比+244.6%/+3851.9%）。子会社急成長が牽引し29年3月期までの新中計策定。104億円の新株予約権発行も実施。	好材料	2026-08-15
/disc/65740/140120250909555274.pdf	6574	2025-09-09	(訂正)「SBI VCトレード株式会社との連携に関するお知らせ」の一部訂正について	SBI VCトレードとの連携発表で、同社資本金を3.5億円から13.5億円に訂正。業績への影響なし。	判断できない	2026-08-15
/disc/65740/140120250912557643.pdf	6574	2025-09-12	米国OTCQX Internationalへの株式公開に関するコンサルティング基本契約締結のお知らせ	アイビーシーコンサルティングとOTCQX International上場支援のコンサル契約を締結。着手金100万円等で総費用は内製化で3000万円から1000万円に圧縮。米国投資家開拓と流動性向上を狙うが、26年3月期業績影響は精査中。	中立	2026-08-15
/disc/65740/140120250919560091.pdf	6574	2025-09-19	株主優待制度（ビットコイン及びFASTNAIL優待割引券提供）の新設に関するお知らせ	コンヴァノが1,000株以上の個人株主向けに、年2回ビットコイン（1,000〜1万円相当）とFASTNAIL割引券（2,000〜2万円相当）を贈呈する優待制度を新設。デジタル資産理解促進と株主還元強化が目的。	好材料	2026-08-15
/disc/65740/140120250922560827.pdf	6574	2025-09-22	海外子会社設立に関するお知らせ	イギリス領ヴァージン諸島に資本金1USDの100%子会社を設立。アベンジャーグループとの提携強化や暗号資産イールド運用評価、ビットコインインカム事業強化を目的とする。当期業績影響は精査中。	中立	2026-08-15
/disc/65740/140120250924561385.pdf	6574	2025-09-24	(開示事項の経過)LG Chem Ltd.とのPMDA（医薬品医療機器総合機構）承認取得に向けた業務提携契約締結に関するお知らせ	連結子会社シンクスヘルスケアがLG ChemとPMDA承認取得に向けた業務提携契約を締結。2026年2月上市予定の医療用HA製剤で売上30百万円を見込み、業績予想は上方修正済みで変更なし。	中立	2026-08-15
/disc/65740/140120250930565221.pdf	6574	2025-09-30	ビットコインの購入完了に関するお知らせ	1.457億円で85.8BTC購入完了、累計104億円・605.7BTC保有。26年3月期予想に損益未織込、会計処理協議中、追加取得方針。	判断できない	2026-08-15
/disc/65740/140120251001566661.pdf	6574	2025-10-01	（開示事項の経過）ビットコイン採掘開始に関するお知らせ	2025年8月発表のビットコインマイニング事業について、GoMining社のDigital Minersを活用し10月1日から採掘を開始。初期投資・特別支出はなく、従量料金のみ発生。2026年3月期業績への影響は精査中。	判断できない	2026-08-15
/disc/65740/140120251002567666.pdf	6574	2025-10-02	円建てステーブルコイン（JPYC）を活用した実物資産（Real World Assets）の決裁・流通支援事業開始のお知らせ	JPYC活用のRWA決済・流通支援事業を開始。提携費用等14億円を営業CFから支出、開始時期未定。26年3月期業績への影響は精査中。	中立	2026-08-15
/disc/65740/140120251003568097.pdf	6574	2025-10-03	子会社による新たな事業(医療機関向け在庫管理支援事業)の開始と株式会社エスマットとの実証実験開始のお知らせ	連結子会社シンクスヘルスケアが美容クリニック向け在庫管理支援事業を開始し、エスマット社と実証実験を11月から2〜3か月実施。特別支出はなく実験費用は相手先負担、業績影響は精査中。	中立	2026-08-15
/disc/65740/140120251007569583.pdf	6574	2025-10-07	「シン・コンヴァノ 21,000 ビットコイン財務補完計画」策定のお知らせ	ビットコイン21,000枚保有計画を更新、全量をオプション・ディーリング運用に充当。数千億円調達を社債5割・第三者割当5割で実施、希薄化は累計25%超で株主承認要件を設定。	中立	2026-08-15
/disc/65740/140120251010571457.pdf	6574	2025-10-10	業績予想の上方修正に関するお知らせ	2026年3月期通期業績予想を上方修正。売上収益12,370百万円（+10.7%）、営業利益6,535百万円（+22.5%）に引き上げ。BTC相場の収益機会増加とデルタニュートラル戦略拡大が要因。	好材料	2026-08-15
/disc/65740/140120251015574229.pdf	6574	2025-10-15	株式会社Robot Consultingとの販売代理、Real World Asset共同事業、並びに共同出資による暗号資産ディーリング事業会社設立に向けた業務提携に関するお知らせ	Robot Consultingと販売代理・RWA共同事業・暗号資産ディーリングJV設立で業務提携。JV運用目標1000億円、当社の初期出資以外の資金負担・希薄化なし。26年3月期業績影響は精査中。	中立	2026-08-15
/disc/65740/140120251016574925.pdf	6574	2025-10-16	主要株主の異動に関するお知らせ	主要株主だったディメンショナル（資産管理・投資事業）が保有株の一部を売却し、主要株主に該当しなくなった。売却の理由までは開示されていない。		2026-08-14
